S.NO,DATE,TIME,TII/TCA,WLS REC,UNIT,SECTOR,FMN,LOC,DIST,TYPE OF TII/TCA,ADDL DETLS,TGT,NO. OF TRTS,ARMY,JKP,CRPF,BSF,CAPF,CIV,ARMY2,JKP2,CRPF2,BSF2,CAPF2,CIV2,IS SIT,IS SIT DETLS,REMARKS,INJURED_NAME,KILLED_NAME
119,06-Dec-20,12:30 PM,TII,NO,31 SA ,31 SA,HQ 15 CORPS ,SAZGARIPORA,SRINAGAR ,FIRING ,"UI TRT FIRED UPON NAKA PARTY OF JKP (MANNED BY PERS OF PS ZADIBL) AT SAZGARIPORA HAWAL, SRINAGAR.
(B) ONE JKP PERS & ONE CIV INJURED DURING FIRING BY UI TRTS.",JKP,UI,0,0,0,0,0,0,0,1,0,0,0,1,NIL,NIL,NIL,ZADIBL,
120,09-Dec-20,9:45 AM,TII,NO,29 RR,10 SECT ,CIF (K),SINGHPURA,BARAMULLA,GREN LOBBED ,"UI TRTS LOBBED GREN AT VEH OF SSB. THE GREN MISSED THE VEH & EXPLODED BETWEEN CIVS SIX CIVS RECD NON-FATAL INJURIES. ALL THE INJURED SHIFTED TO TRAUMA CENTER, PATTAN.",SSB,UI,0,0,0,0,0,0,0,0,0,0,0,6,NIL,NIL,06 X CIVS NAMES ARE NOT AVAILABLE,,
121,11-Dec-20,7:00 AM,TII,NO,31 SA ,31 SA,HQ 15 CORPS ,NOORBAGH ,SRINAGAR,GREN LOBBED ,"UI TRTS LOBBED A GREN ON G COY OF 161 BN CRPF DPLY AT NOORBAGH, SRINAGAR.THE GREN EXPLODED OUTSIDE THEIR POST NO 1.  NO INJURIES OR DAMAGE REPORTED.",CRPF,UI,0,0,0,0,0,0,0,0,0,0,0,0,NIL,NIL,NO INJURIES REPORTED.,,
122,10-Dec-20,4:25 PM,TII,NO,34 RR,2 SECT,CIF (V),NOHAMA,KULGAM,GREN LOBBED ,UI TRTS LOBBED GREN TOWARDS CAMP OF  A COY OF 18 BN CRPF. NO INJURIES OR DAMAGE REPORTED.,CRPF,UI,0,0,0,0,0,0,0,0,0,0,0,0,NIL,NIL,NO INJURIES REPORTED.,,
123,11-Dec-20,6:30 PM,TCA ,NO,55 RR ,12 SECT ,CIF (V),WASURA,PULWAMA,FIRING ,"UI TRTS FIRED UPON AND INJURED ONE CIV NAMED MUSHTAQ AHMAD, R/O  WASOORA.",CIV,UI,0,0,0,0,0,0,0,0,0,0,0,1,NIL,NIL,CONDITION STABLE,,
124,12-Dec-20,5:55 PM,TCA ,NO,22 RR ,5 SECT ,CIF (K),PP BUS STAND SOPORE,BARAMULLA,GREN LOBBED ,"A GREN WAS LOBBED AT POLICE POST NEAR BUS STAND SOPORE, 2 CIVS  SUSTAINED MINOR SPLINTER INJ. ",CIV,UI,0,0,0,0,0,0,0,0,0,0,0,2,NIL,NIL,DETAILS AWAITED,,
125,14-Dec-20,10:50 AM,TCA ,NO,31 SA ,31 SA,HQ 15 CORPS ,CENTRAL KASHMIR NATIPORA,SRINAGAR ,FIRING ,"AN UI FIRED UPON HAJI PARVEEZ (PDP), R/O NATIPORA, PP CHANPORA, PS SADDAR SRINAGAR IN WHICH HIS PSO JKP CONSTABLE MANZOOR AHMAD WAS INJURED AND LATER SUCCUMBED AT B & J HOSP, SRINAGAR. THE SUSPECT TRT MANAGED TO FLEE FROM THE SPOT.",CIV,UI,0,1,0,0,0,0,0,0,0,0,0,0,NIL,NIL,THE ARE HAS BEEN CORDONED OFF AND SEARCH OS ON TO NAB THE TRT.,,
126,17-Dec-20,12:40 PM,TII,NO,3 RR,1 SECT,CIF (V),BIJBEHARA,ANANTNAG,GREN LOBBED ,UI TRTS LOBBED A GREN NEAR SUB DISTRICT HOSP BIJBEHARA. ONE CRPF CONSTABLE SUSTAINED MINOR SPLINTER INJ. ,CRPF,UI,0,0,0,0,0,0,0,0,1,0,0,0,NIL,NIL,DETAILS AWAITED,,
127,20-Dec-20,6:40 PM,TII,NO,18 RR,2 SECT,CIF (V),ACHHABAL CHOWK,ANANTNAG,GREN LOBBED ,"UI TRTS LOBBED GREN ON CRPF STANDING VEH AT ACHHABAL CHOWK, ANANTNAG. GREN BLASTED BENEATH THE VEH BODY. ONE CRPF PERS SUSTAINED MINOR SPLINTER INJ. ",CRPF,UI,0,0,0,0,0,0,0,0,1,0,0,0,NIL,NIL,DETAILS AWAITED,,
128,23-Dec-20,4:40 PM,TII,NO,5 RR,3 SECT,CIF (V),GANDERBAL,GANDERBAL,GREN LOBBED ,"UI TRTS LOBBED GREN UPON PICQUET OF 115 CRPF BN AT DODHARHAMA, GANDERBAL. FOUR CRPF PERS ONE JKP AND A CIV SUSTAINED INJ. INJ PERS SHIFTED TO SKIMS HOSP, SOURA    (SRINAGAR). BAL DETLS BEING ASCERTAINED.CORDON EST.",CRPF,UI,0,0,2,0,0,0,0,1,2,0,0,1,NIL,NIL,DETAILS AWAITED,,
129,24-Dec-20,6:05 PM,TII,NO,32 RR,7 SECT,CIF (K),MINI SECRETARIAT,BARAMULLA,GREN LOBBED ,UI PERS LOBBED GREN AT SENTRY POST OF COMPOSITE COY ADHOC 3 SSB LOC AT MINI SECRETARIAT WATARGAM. ONE CONSTABLE OF SSB GOT INJURED (MINOR SPLINTER INJ). CONDITION STABLE.,SSB,UI,0,0,0,0,0,0,0,0,0,0,1,0,NIL,NIL,DETAILS AWAITED,,
130,24-Dec-20,8:15 PM,TII,NO,31 SA ,31 SA,HQ 15 CORPS ,RARIPORA,SRINAGAR,GREN LOBBED ,,CRPF,UI,0,0,0,0,0,0,0,0,0,0,0,0,NIL,NIL,NIL,,
131,31-Dec-20,6:30 PM,TII,NO,3 RR,1 SECT,CIF (V),SANGAM,ANANTNAG,HURLED GREN ,UI TRTS HURLED A GREN ON C COY OF 89 BN CRPF CAMP. SI (GD) HARDAYAL YADAV OF 89 BN CRPF SUSTAINED MINOR INJS.,CRPF,UI,0,0,0,0,0,0,0,0,1,0,0,0,NIL,NIL,NIL,,
132,31-Dec-20,10:00 PM,TII,NO,50 RR ,1 SECT,CIF (V),PAMPORE,PULWAMA,HURLED GREN ,"UI TRTS HURLED A GREN ON SENTRY POST OF 110 BN CRPF CAMP LOC AT POWER GRID STN, PAMPORE. NO INJS REPORTED. ",CRPF,UI,0,0,0,0,0,0,0,0,0,0,0,0,NIL,NIL,NO INJURIES REPORTED.,,
133,31-Dec-20,6:10 PM,TCA ,NO,31 SA ,31 SA,HQ 15 CORPS ,HARI SINGH STREET,SRINAGAR,FIRING ,"UI TRTS FIRED AT SATPAL NISCHAL R/O INDIRA NAGAR, SRINAGAR WHILE HE WAS IN HIS JEWELLERY SHOP AT HARI SINGH STREET, SRINAGAR. INDL SUCCUMBED TO HIS INJS AT SMHS HOSP, SRINAGAR.",CIV,UI,0,0,0,0,0,1,0,0,0,0,0,0,NIL,NIL,-,,
